,SA2_NAME21,SA3_NAME21
0,Braidwood,Queanbeyan
1,Karabar,Queanbeyan
2,Queanbeyan,Queanbeyan
3,Queanbeyan - East,Queanbeyan
4,Queanbeyan West - Jerrabomberra,Queanbeyan
5,Googong,Queanbeyan
6,Queanbeyan Surrounds,Queanbeyan
7,Bombala,Snowy Mountains
8,Cooma,Snowy Mountains
9,Cooma Surrounds,Snowy Mountains
10,Jindabyne - Berridale,Snowy Mountains
11,Batemans Bay,South Coast
12,Batemans Bay - South,South Coast
13,Bega - Tathra,South Coast
14,Bega-Eden Hinterland,South Coast
15,Broulee - Tomakin,South Coast
16,Deua - Wadbilliga,South Coast
17,Eden,South Coast
18,Eurobodalla Hinterland,South Coast
19,Merimbula - Tura Beach,South Coast
20,Moruya - Tuross Head,South Coast
21,Narooma - Bermagui,South Coast
22,Goulburn,Goulburn - Mulwaree
23,Goulburn Surrounds,Goulburn - Mulwaree
24,Yass,Young - Yass
25,Yass Surrounds,Young - Yass
26,Young,Young - Yass
27,Young Surrounds,Young - Yass
28,Avoca Beach - Copacabana,Gosford
29,Box Head - MacMasters Beach,Gosford
30,Calga - Kulnura,Gosford
31,Erina - Green Point,Gosford
32,Gosford - Springfield,Gosford
33,Kariong,Gosford
34,Kincumber - Picketts Valley,Gosford
35,Narara,Gosford
36,Niagara Park - Lisarow,Gosford
37,Point Clare - Koolewong,Gosford
38,Saratoga - Davistown,Gosford
39,Terrigal - North Avoca,Gosford
40,Umina - Booker Bay - Patonga,Gosford
41,Wamberal - Forresters Beach,Gosford
42,Woy Woy - Blackwall,Gosford
43,Wyoming,Gosford
44,Bateau Bay - Killarney Vale,Wyong
45,Blue Haven - San Remo,Wyong
46,Budgewoi - Buff Point - Halekulani,Wyong
47,Chittaway Bay - Tumbi Umbi,Wyong
48,Gorokan - Kanwal - Charmhaven,Wyong
49,Jilliby - Yarramalong,Wyong
50,Lake Munmorah - Mannering Park,Wyong
51,Ourimbah - Fountaindale,Wyong
52,Summerland Point - Gwandalan,Wyong
53,The Entrance,Wyong
54,Toukley - Norah Head,Wyong
55,Tuggerah - Kangy Angy,Wyong
56,Warnervale - Wadalba,Wyong
57,Wyong,Wyong
58,Bathurst - East,Bathurst
59,Bathurst Surrounds,Bathurst
60,Oberon,Bathurst
61,Bathurst - South,Bathurst
62,Bathurst - West,Bathurst
63,Condobolin,Lachlan Valley
64,Cowra,Lachlan Valley
65,Cowra Surrounds,Lachlan Valley
66,Forbes,Lachlan Valley
67,Grenfell,Lachlan Valley
68,Parkes (NSW),Lachlan Valley
69,Parkes Surrounds,Lachlan Valley
70,West Wyalong,Lachlan Valley
71,Lithgow,Lithgow - Mudgee
72,Lithgow Surrounds,Lithgow - Mudgee
73,Mudgee,Lithgow - Mudgee
74,Mudgee Surrounds - East,Lithgow - Mudgee
75,Mudgee Surrounds - West,Lithgow - Mudgee
76,Wollangambe - Wollemi,Lithgow - Mudgee
77,Blayney,Orange
78,Orange,Orange
79,Orange - North,Orange
80,Orange Surrounds,Orange
81,Grafton,Clarence Valley
82,Grafton Surrounds,Clarence Valley
83,Maclean - Yamba - Iluka,Clarence Valley
84,Bellingen,Coffs Harbour
85,Coffs Harbour - North,Coffs Harbour
86,Coffs Harbour - South,Coffs Harbour
87,Coramba - Nana Glen - Bucca,Coffs Harbour
88,Dorrigo,Coffs Harbour
89,Korora - Emerald Beach,Coffs Harbour
90,Sawtell - Boambee,Coffs Harbour
91,Urunga,Coffs Harbour
92,Woolgoolga - Arrawarra,Coffs Harbour
93,Bourke - Brewarrina,Bourke - Cobar - Coonamble
94,Cobar,Bourke - Cobar - Coonamble
95,Coonamble,Bourke - Cobar - Coonamble
96,Nyngan - Warren,Bourke - Cobar - Coonamble
97,Walgett - Lightning Ridge,Bourke - Cobar - Coonamble
98,Broken Hill,Broken Hill and Far West
99,Far West,Broken Hill and Far West
100,Coonabarabran,Dubbo
101,Dubbo - East,Dubbo
102,Dubbo - South,Dubbo
103,Dubbo - West,Dubbo
104,Dubbo Surrounds,Dubbo
105,Gilgandra,Dubbo
106,Narromine,Dubbo
107,Wellington,Dubbo
108,Branxton - Greta - Pokolbin,Lower Hunter
109,Cessnock,Lower Hunter
110,Cessnock Surrounds,Lower Hunter
111,Dungog,Lower Hunter
112,Kurri Kurri - Abermain,Lower Hunter
113,Singleton,Lower Hunter
114,Singleton Surrounds,Lower Hunter
115,Maitland,Maitland
116,Maitland - North,Maitland
117,East Maitland - Metford,Maitland
118,Rutherford (North) - Aberglasslyn,Maitland
119,Rutherford (South) - Telarah,Maitland
120,Tenambit - East Maitland,Maitland
121,Thornton - Millers Forest,Maitland
122,Anna Bay,Port Stephens
123,Lemon Tree Passage - Tanilba Bay,Port Stephens
124,Nelson Bay Peninsula,Port Stephens
125,Raymond Terrace,Port Stephens
126,Seaham - Woodville,Port Stephens
127,Tea Gardens - Hawks Nest,Port Stephens
128,Williamtown - Medowie - Karuah,Port Stephens
129,Muswellbrook,Upper Hunter
130,Muswellbrook Surrounds,Upper Hunter
131,Scone,Upper Hunter
132,Scone Surrounds,Upper Hunter
133,Dapto - Avondale,Dapto - Port Kembla
134,Horsley - Kembla Grange,Dapto - Port Kembla
135,Port Kembla Industrial,Dapto - Port Kembla
136,Unanderra - Mount Kembla,Dapto - Port Kembla
137,Berkeley - Lake Heights - Cringila,Dapto - Port Kembla
138,Port Kembla - Warrawong,Dapto - Port Kembla
139,Windang - Primbee,Dapto - Port Kembla
140,Illawarra Catchment Reserve,Illawarra Catchment Reserve
141,Albion Park - Macquarie Pass,Kiama - Shellharbour
142,Albion Park Rail,Kiama - Shellharbour
143,Kiama,Kiama - Shellharbour
144,Kiama Downs - Minnamurra,Kiama - Shellharbour
145,Kiama Hinterland - Gerringong,Kiama - Shellharbour
146,Shellharbour - Flinders,Kiama - Shellharbour
147,Shellharbour - Oak Flats,Kiama - Shellharbour
148,Warilla,Kiama - Shellharbour
149,Balgownie - Fairy Meadow,Wollongong
150,Corrimal - Tarrawanna - Bellambi,Wollongong
151,Figtree - Keiraville,Wollongong
152,Helensburgh,Wollongong
153,Thirroul - Austinmer - Coalcliff,Wollongong
154,Woonona - Bulli - Russell Vale,Wollongong
155,Wollongong - East,Wollongong
156,Wollongong - West,Wollongong
157,Bulahdelah - Stroud,Great Lakes
158,Forster,Great Lakes
159,Forster-Tuncurry Surrounds,Great Lakes
160,Tuncurry,Great Lakes
161,Kempsey,Kempsey - Nambucca
162,Kempsey Surrounds,Kempsey - Nambucca
163,Macksville - Scotts Head,Kempsey - Nambucca
164,Nambucca Heads,Kempsey - Nambucca
165,Nambucca Heads Surrounds,Kempsey - Nambucca
166,South West Rocks,Kempsey - Nambucca
167,Lord Howe Island,Lord Howe Island
168,Laurieton - Bonny Hills,Port Macquarie
169,Port Macquarie - West,Port Macquarie
170,Port Macquarie Surrounds,Port Macquarie
171,Wauchope,Port Macquarie
172,Port Macquarie - East,Port Macquarie
173,Port Macquarie - South,Port Macquarie
174,Gloucester,Taree - Gloucester
175,Old Bar - Manning Point - Red Head,Taree - Gloucester
176,Taree,Taree - Gloucester
177,Taree Surrounds,Taree - Gloucester
178,Wingham,Taree - Gloucester
179,Albury - East,Albury
180,Albury - North,Albury
181,Albury - South,Albury
182,Albury Surrounds,Albury
183,Lavington,Albury
184,Hay,Lower Murray
185,Wentworth - Buronga,Lower Murray
186,Wentworth-Balranald Region,Lower Murray
187,Corowa,Upper Murray exc. Albury
188,Corowa Surrounds,Upper Murray exc. Albury
189,Deniliquin,Upper Murray exc. Albury
190,Deniliquin Surrounds,Upper Murray exc. Albury
191,Moama,Upper Murray exc. Albury
192,Tocumwal - Finley - Jerilderie,Upper Murray exc. Albury
193,Armidale,Armidale
194,Armidale Surrounds - North,Armidale
195,Armidale Surrounds - South,Armidale
196,Walcha,Armidale
197,Glen Innes,Inverell - Tenterfield
198,Inverell,Inverell - Tenterfield
199,Inverell Surrounds - East,Inverell - Tenterfield
200,Inverell Surrounds - West,Inverell - Tenterfield
201,Tenterfield,Inverell - Tenterfield
202,Moree,Moree - Narrabri
203,Moree Surrounds,Moree - Narrabri
204,Narrabri,Moree - Narrabri
205,Narrabri Surrounds,Moree - Narrabri
206,Gunnedah,Tamworth - Gunnedah
207,Gunnedah Surrounds,Tamworth - Gunnedah
208,Quirindi,Tamworth - Gunnedah
209,Tamworth - East,Tamworth - Gunnedah
210,Tamworth - North,Tamworth - Gunnedah
211,Tamworth - West,Tamworth - Gunnedah
212,Tamworth Surrounds,Tamworth - Gunnedah
213,Belmont - Bennetts Green,Lake Macquarie - East
214,Belmont South - Blacksmiths,Lake Macquarie - East
215,Charlestown - Dudley,Lake Macquarie - East
216,Glendale - Cardiff - Hillsborough,Lake Macquarie - East
217,Mount Hutton - Windale,Lake Macquarie - East
218,Redhead,Lake Macquarie - East
219,Swansea - Caves Beach,Lake Macquarie - East
220,Valentine - Eleebana,Lake Macquarie - East
221,Warners Bay - Boolaroo,Lake Macquarie - East
222,Bolton Point - Teralba,Lake Macquarie - West
223,Bonnells Bay - Silverwater,Lake Macquarie - West
224,Edgeworth - Cameron Park,Lake Macquarie - West
225,Morisset - Cooranbong,Lake Macquarie - West
226,Toronto - Awaba,Lake Macquarie - West
227,Wangi Wangi - Rathmines,Lake Macquarie - West
228,West Wallsend - Barnsley - Killingworth,Lake Macquarie - West
229,Adamstown - Kotara,Newcastle
230,Beresfield - Hexham,Newcastle
231,Hamilton - Broadmeadow,Newcastle
232,Lambton - New Lambton,Newcastle
233,Maryland - Fletcher - Minmi,Newcastle
234,Mayfield - Warabrook,Newcastle
235,Merewether - The Junction,Newcastle
236,Newcastle - Cooks Hill,Newcastle
237,Newcastle Port - Kooragang,Newcastle
238,Shortland - Jesmond,Newcastle
239,Stockton - Fullerton Cove,Newcastle
240,Wallsend - Elermore Vale,Newcastle
241,Waratah - North Lambton,Newcastle
242,Wickham - Carrington - Tighes Hill,Newcastle
243,Ballina,Richmond Valley - Coastal
244,Ballina Surrounds,Richmond Valley - Coastal
245,Bangalow,Richmond Valley - Coastal
246,Brunswick Heads - Ocean Shores,Richmond Valley - Coastal
247,Byron Bay,Richmond Valley - Coastal
