Suburb,0
AARONS PASS,1
ASCOT,18
AXE CREEK,9
AXEDALE,12
BAGSHOT,4
BALLENDELLA,1
BALWYN NORTH,1
BARKERS CREEK,10
BENDIGO,323
BET BET,2
BIG HILL,24
BONEO,1
BOOMANOOMANA,1
BOOROLITE,1
BOORT,1
BRIDGEWATER,7
BRIDGEWATER NORTH,1
BRIDGEWATER ON LODDON,2
CAIRNLEA,1
CALFORNIA GULLY,73
CALIVIL,2
CAMPBELLS CREEK,27
CAMPBELLS FOREST,1
CARISBROOK,1
CASTLEMAINE,71
CHARLTON,3
CHEWTON,3
CHEWTON BUSHLANDS,1
CLOVERDALE WA,1
COHUNA,1
COOMOORA,1
COSTERFIELD,1
DINGEE,2
DUNOLLY,3
EAGLEHAWK,75
EAST BENDIGO,54
EAST KEILOR,1
ECHUCA,4
ECHUCA SOUTH,1
ELMORE,2
ELPHINSTONE,6
EMU CREEK,6
EPPALOCK,7
EPPING,1
EPSOM,74
ESSENDON,2
FARADAY,6
FERNIHURST,1
FLORA HILL,99
FLOREY,1
FOSTERVILLE,1
FRANKSTON,1
FRYERSTOWN,2
GOLDEN GULLY,15
GOLDEN SQUARE,617
GOORNONG,6
GREEN GULLY,2
GREENSBOROUGH,1
HARCOURT,33
HARCOURT NORTH,6
HAWKER,2
HEATHCOTE,12
HEATHCOTE JUNCTION,2
HUNTLY,35
HUNTLY NORTH,1
INGLEWOOD,3
IRONBARK,41
IRYMPLE,1
JACKASS FLAT,37
JUNORTOUN,74
KANGAROO FLAT,937
KEILOR EAST,1
KENNINGTON,125
KIMBOLTON,4
KNOWSLEY,3
KNOXFIELD,2
KYNETON,7
LAANECOORIE,2
LAKE GARDENS,1
LANSELL PLAZA,1
LEICHARDT,2
LOCKWOOD,65
LOCKWOOD SOUTH,62
LONG GULLY,93
LONGLEA,8
MAIDEN GULLY,258
MALDON,21
MALMSBURY,1
MALVERN,1
MANDURANG,27
MANDURANG SOUTH,15
MARONG,109
MARYBOROUGH,3
MCKENZIE HILL,8
METCALFE,1
MILDURA,1
MITCHAM,1
MOAMA,1
MOLIAGUL,1
MOORABBIN,1
MOULAMEIN,1
MUCKLEFORD,7
MYERS FLAT,10
MYRTLE CREEK,1
NEILBOROUGH,2
NERRINA,1
NEWBRIDGE,2
NEWSTEAD,3
NORTH BENDIGO,102
PASCOE VALE,1
PRAIRIE,2
PRESTON,2
QUARRY HILL,85
RAVENSWOOD,28
RAVENSWOOD SOUTH,1
RAYWOOD,6
ROCHESTER,2
ROMSEY,1
ROXBURGH PARK,1
RYE,2
SAILORS GULLY,11
SALISBURY WEST,1
SANDON,1
SEBASTIAN,2
SEDGWICK,21
SERPENTINE,3
SHELBOURNE,18
SHEPPARTON,1
SPRING GULLY,131
SPRINGVALE,1
STRATHDALE,123
STRATHFIELDSAYE,169
SUNBURY,1
SUTTON GRANGE,4
SWAN HILL,4
TARADALE,4
TARNAGULLA,1
TARRENGOWER,1
THORNBURY,1
TOOLLEEN,2
WALMER,5
WARANGA SHORES,1
WARNER QLD,1
WEDDERBURN,2
WELSHMANS REEF,3
WEST BENDIGO,17
WHIPSTICK,2
WHITE HILLS,49
WOODEND,1
WOODVALE,13
WOOLLOOMOOLOO,1
YAPEEN,1
YARRABERB,1
