Suburb,0
Ballarat,1
Ballarat North - Invermay,1
Balwyn North,1
Bendigo,568
Bendigo Surrounds - North,48
Bendigo Surrounds - South,167
Cairnlea,1
California Gully - Eaglehawk,299
Cashmere,1
Castlemaine,71
Castlemaine Surrounds,156
Cobram,1
Deniliquin Surrounds,1
EAST Bendigo,54
East Bendigo - Kennington,248
Echuna,6
Epping - East,1
Essendon - East,2
FLOREY,1
Flora Hill - Spring Gully,230
Frankston,1
Greensborough,1
Heathcote,41
Kangaroo Flat - Golden Square,1788
Keilor East,2
Kewdale,1
Knoxfield - Scoresby,2
Kyneton,9
Lockington - Gunbower,1
Loddon,30
Longreach,2
Maiden Gully,258
Malvern East,1
Mansfield (Vic.),1
Maryborough (Vic.),3
Maryborough Surrounds,9
Mildura Surrounds,2
Mitcham (Vic.),1
Moorabbin - Heatherton,1
Mudgee Surrounds - East,1
Outback,2
Pascoe Vale South,1
Preston - East,2
Rochester,3
Romsey,1
Rosebud - McCrae,3
Roxburgh Park - North,1
Rushworth,1
Shepparton - North,1
Springvale,1
St Arnaud,1
Strathfieldsaye,242
Sunbury,1
Swan Hill,4
Sydney (North) - Millers Point,1
Thornbury,1
White Hills - Ascot,181
